Class names: amazon nectar 

Feature names and their values:
     architecture => Embarrassingly_parallel MapReduce Other
     size => small large
     sensitivity => none sensitive

Training Data:

sample          class           architecture     size		sensitivity
================================================================================
sample_0	amazon		Embarrassingly_parallel	small		none
sample_1	amazon		Embarrassingly_parallel	large		none
sample_2	amazon		MapReduce	small		none
sample_3	amazon		MapReduce	large		none
sample_4	amazon		Other		small		none
sample_5	amazon		Other		large		none
sample_6	nectar		Embarrassingly_parallel	small		none
sample_7	nectar		Embarrassingly_parallel	small		sensitive
sample_8	nectar		Other		small		none
sample_9	nectar		Other		small		sensitive
